path,category_folder,filename,sample_rate_hz,channels,bit_depth_bytes,duration_seconds,size_bytes,sha256_16,bpm,key_or_note
Samples/Textures/Obsidian_Texture_Lost_Kingdom_Dm.wav,Textures,Obsidian_Texture_Lost_Kingdom_Dm.wav,44100,1,2,8.5,749744,a8833bea2cc321b2,,Dm
Samples/Textures/Obsidian_Texture_Obsidian_Mist_F2.wav,Textures,Obsidian_Texture_Obsidian_Mist_F2.wav,44100,1,2,10.5,926144,2bb07c931e8910fc,,F2
Samples/Textures/Obsidian_Texture_Ritual_Bed_C2.wav,Textures,Obsidian_Texture_Ritual_Bed_C2.wav,44100,1,2,11.0,970244,ad35883479ee7920,,C2
Samples/Transitions/Obsidian_Transition_Choir_Swell_Gm.wav,Transitions,Obsidian_Transition_Choir_Swell_Gm.wav,44100,1,2,5.0,441044,ecbda997dcfa7778,,Gm
Samples/Transitions/Obsidian_Transition_Frozen_Riser_Em.wav,Transitions,Obsidian_Transition_Frozen_Riser_Em.wav,44100,1,2,3.5,308744,342b8be18e45b8a6,,Em
Samples/Transitions/Obsidian_Transition_Ghost_Swell_Dm.wav,Transitions,Obsidian_Transition_Ghost_Swell_Dm.wav,44100,1,2,5.1,449862,e7cd231d84663c7d,,Dm
Samples/Transitions/Obsidian_Transition_Riser_Am.wav,Transitions,Obsidian_Transition_Riser_Am.wav,44100,1,2,3.2,282284,ff7f46f84e8c46fe,,Am
Samples/Transitions/Obsidian_Transition_Riser_Dm.wav,Transitions,Obsidian_Transition_Riser_Dm.wav,44100,1,2,3.4,299924,21fdcdf0b2a40535,,Dm
Samples/Transitions/Obsidian_Transition_Riser_Fm.wav,Transitions,Obsidian_Transition_Riser_Fm.wav,44100,1,2,3.6,317564,d7d476c4b9348548,,Fm
Samples/Transitions/Obsidian_Transition_Ritual_Riser_Cm.wav,Transitions,Obsidian_Transition_Ritual_Riser_Cm.wav,44100,1,2,3.4,299924,e5727e58afb044f9,,Cm
Samples/Transitions/Obsidian_Transition_Ritual_Riser_Fm.wav,Transitions,Obsidian_Transition_Ritual_Riser_Fm.wav,44100,1,2,3.6,317564,0c2b423542236f56,,Fm
